,samples,nm_class,slices,fold
1,f82d213f-9843-28eb-e040-11ac0d483e48,Bone-Osteosarc,2,1
2,f82d213f-9ba5-7b6b-e040-11ac0c486882,Bone-Osteosarc,3,1
3,f82d213f-bc06-5b51-e040-11ac0c48687e,Bone-Osteosarc,4,1
4,f82d213f-bc99-5b1d-e040-11ac0c486880,Bone-Osteosarc,5,1
6,f82d2146-70f5-8114-e040-11ac0d483e50,Bone-Osteosarc,2,1
7,f82d2146-726a-d0e0-e040-11ac0c486888,Bone-Osteosarc,3,1
8,f83f1eb8-b2c8-c3d6-e040-11ac0c48261e,Bone-Osteosarc,4,1
9,f83fc777-5416-c3e9-e040-11ac0d482c8e,Bone-Osteosarc,5,1
11,f841c488-6b8d-6645-e040-11ac0c481418,Bone-Osteosarc,2,1
12,f8425828-5b0f-23a8-e040-11ac0d484128,Bone-Osteosarc,3,1
13,f843ed5c-0336-3d33-e040-11ac0d48478c,Bone-Osteosarc,4,1
14,f845ebba-8c56-b559-e040-11ac0c4863d5,Bone-Osteosarc,5,1
16,f8515e5a-7de3-6be3-e040-11ac0c480d6d,Bone-Osteosarc,2,1
17,f85397dc-e6e9-4f54-e040-11ac0d48706c,Bone-Osteosarc,3,1
18,f854ae3f-356d-f0ad-e040-11ac0c485dae,Bone-Osteosarc,4,1
19,f856fa85-fdb8-c0b0-e040-11ac0d480b4e,Bone-Osteosarc,5,1
21,f8593ac0-9480-22a0-e040-11ac0d48697a,Bone-Osteosarc,2,1
22,f85add3d-e2e6-31f8-e040-11ac0d48479c,Bone-Osteosarc,3,1
23,f85ae2b7-cebf-17a2-e040-11ac0c48033a,Bone-Osteosarc,4,1
24,f860bc4c-f31b-6538-e040-11ac0c48268f,Bone-Osteosarc,5,1
26,f8696c79-b165-92a6-e040-11ac0c4804bf,Bone-Osteosarc,2,1
27,f86975a2-78a4-ef8c-e040-11ac0c4809da,Bone-Osteosarc,3,1
28,f86ae246-2492-9785-e040-11ac0d4813b0,Bone-Osteosarc,4,1
29,f86b6ba2-8f4b-ee53-e040-11ac0d485904,Bone-Osteosarc,5,1
31,f86e2d80-911b-7a19-e040-11ac0d486900,Bone-Osteosarc,2,1
32,f87348df-7186-4c6b-e040-11ac0c482ba9,Bone-Osteosarc,3,1
33,f87cdca1-2c85-49d2-e040-11ac0d485c9d,Bone-Osteosarc,4,1
34,f87d7c27-eeef-920e-e040-11ac0d48388d,Bone-Osteosarc,5,1
36,f87eb1b5-1712-ca1f-e040-11ac0c483848,Bone-Osteosarc,2,1
37,f8809cee-8f81-28f8-e040-11ac0d4873bf,Bone-Osteosarc,3,1
38,fc93e38d-6bd5-9912-e040-11ac0c4838cd,Bone-Osteosarc,4,1
39,fc9469d0-4d0e-bb59-e040-11ac0d481e59,Bone-Osteosarc,5,1
41,fc998aec-57dd-eab2-e040-11ac0d48680a,Bone-Osteosarc,2,1
42,fc99b734-7f61-88d1-e040-11ac0c482e88,Bone-Osteosarc,3,1
43,fc99bbb0-e5c7-fb9e-e040-11ac0d4807e1,Bone-Osteosarc,4,1
0,01658141-8398-4585-9f0f-8355dd9b0604,Breast-AdenoCA,5,1
2,07b5141f-ac79-439b-883b-b0183bbe7ff5,Breast-AdenoCA,2,1
3,097a7d36-905b-72be-e050-11ac0d482c9a,Breast-AdenoCA,3,1
4,110b5f05-ded7-45ec-b0f6-a941c92d77dd,Breast-AdenoCA,4,1
5,13c312ec-0add-4758-ab8d-c193e2e08c6d,Breast-AdenoCA,5,1
7,1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa,Breast-AdenoCA,2,1
8,1c0e384f-7254-4afe-93c0-b3fc6c6a7894,Breast-AdenoCA,3,1
9,1eb62abc-7928-405b-84cc-f091ca5347b2,Breast-AdenoCA,4,1
10,207f8a42-5b05-4876-b0ae-ebfaeea27844,Breast-AdenoCA,5,1
12,25c76a8f-77c0-4650-bddf-45ed0c10a2e6,Breast-AdenoCA,2,1
13,25e4cad7-2403-4992-9cbc-433574673549,Breast-AdenoCA,3,1
14,27f87d1e-2c32-4beb-9677-62f7a286673d,Breast-AdenoCA,4,1
15,2b000af3-2c9d-4eaa-af3f-8101b7425c37,Breast-AdenoCA,5,1
17,2da2b745-068d-408c-9163-3b3a78d4aaed,Breast-AdenoCA,2,1
18,30dbe353-86d5-40ed-84c2-dbddf7beb17b,Breast-AdenoCA,3,1
19,3585e133-b3c1-4d90-b5f2-2b867e0ae0ec,Breast-AdenoCA,4,1
20,36d1a85e-a09b-4537-86e0-eaf1eb03aed8,Breast-AdenoCA,5,1
22,41f140b8-72b9-4ae3-8b25-6144d9f94d0f,Breast-AdenoCA,2,1
23,43f7a2e0-fec9-4e43-872d-18c6c946fa17,Breast-AdenoCA,3,1
24,467ef778-f481-44f3-9768-b9900252d2ba,Breast-AdenoCA,4,1
25,47312f61-5ef4-4f25-9320-8fbb4758790e,Breast-AdenoCA,5,1
27,4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9,Breast-AdenoCA,2,1
28,546b982f-60d9-43df-9761-09369afbee2d,Breast-AdenoCA,3,1
29,5a535c49-d42e-43c6-9d32-dc76f28d4f0f,Breast-AdenoCA,4,1
30,5b7d5767-2037-4175-aec9-886776343181,Breast-AdenoCA,5,1
32,6764e0a2-7a78-45c1-9189-6001c6518ce4,Breast-AdenoCA,2,1
33,6c65cb6d-8c50-4c7c-bc84-eeebe09fbe01,Breast-AdenoCA,3,1
34,6c8e9197-fd16-4fed-bfda-e349cab26314,Breast-AdenoCA,4,1
35,6d7f44df-e9f0-4542-a6d8-d14ee7804002,Breast-AdenoCA,5,1
37,71fda5a9-7049-406f-9348-2c24f7ddf5f4,Breast-AdenoCA,2,1
38,73936e8b-c893-4afd-bd1f-be90c06a4869,Breast-AdenoCA,3,1
39,74039acd-5aca-4c65-818c-3b577d295be0,Breast-AdenoCA,4,1
40,7456abd5-303e-4e6f-bf4e-47efefc7310f,Breast-AdenoCA,5,1
42,7b08e810-f3c9-4155-ac11-f45a3a4f8b41,Breast-AdenoCA,2,1
43,84c77098-03d0-4b22-afb1-797703e85c6c,Breast-AdenoCA,3,1
44,8691c87f-2468-44bb-a670-3dccd6da33c6,Breast-AdenoCA,4,1
45,8e03e773-5557-4e78-889b-4710c515378f,Breast-AdenoCA,5,1
47,9032b7fe-e38a-4641-a45e-67041668adc4,Breast-AdenoCA,2,1
48,97064332-1d4f-4571-93ff-354ffe6d7df9,Breast-AdenoCA,3,1
49,987528ac-437a-4eb8-a335-4f2076d5c006,Breast-AdenoCA,4,1
50,987d41ee-6bab-490c-b0f2-bf28c0089de9,Breast-AdenoCA,5,1
52,9ddf2119-a222-4fa5-a9f3-0bec7eeea36b,Breast-AdenoCA,2,1
53,a6c14ebc-81a2-44f7-af87-2b7ec85e5696,Breast-AdenoCA,3,1
